FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Subbasin,SubbasinR,Type,Length
0,30,30,30,31,30,31,1,2.349833
1,29,29,29,28,29,28,1,4.897269
2,34,34,34,30,34,30,1,3.632494
3,33,33,33,31,33,31,1,3.667368
4,31,31,31,35,31,35,1,2.024094
5,25,25,25,27,25,27,1,8.020933
6,95,95,95,17,95,17,1,7.720949
7,17,17,17,18,17,18,1,6.450082
8,21,21,21,17,21,17,1,3.963028
9,61,61,61,60,61,60,1,1.276032
10,52,52,52,50,52,50,1,11.497653
11,41,41,41,37,41,37,1,3.065857
12,37,37,37,39,37,39,1,5.477642
13,45,45,45,37,45,37,1,1.923725
14,90,90,90,5,90,5,1,10.732098
15,89,89,89,96,89,96,1,3.40174
16,3,3,3,7,3,7,1,5.191303
17,7,7,7,5,7,5,1,2.928488
18,5,5,5,8,5,8,1,2.971572
19,6,6,6,8,6,8,1,2.311664
20,46,46,46,48,46,48,2,6.834259
21,2,2,2,7,2,7,1,7.994917
22,71,71,71,87,71,87,2,8.395837
23,68,68,68,71,68,71,2,5.045741
24,65,65,65,71,65,71,2,1.646812
25,66,66,66,65,66,65,2,1.15641
26,69,69,69,66,69,66,2,14.05086
27,67,67,67,65,67,65,2,6.477461
28,70,70,70,66,70,66,2,3.12467
29,86,86,86,74,86,74,2,2.104071
30,81,81,81,74,81,74,2,4.885693
31,47,47,47,48,47,48,2,12.564308
32,1,1,1,3,1,3,1,7.03551
33,96,96,96,3,96,3,1,3.18674
34,8,8,8,11,8,11,1,1.122738
35,91,91,91,92,91,92,1,2.774689
36,14,14,14,20,14,20,1,5.902343
37,20,20,20,22,20,22,1,1.141487
38,22,22,22,18,22,18,1,1.729853
39,18,18,18,19,18,19,1,3.635396
40,24,24,24,19,24,19,1,6.392538
41,23,23,23,22,23,22,1,3.702093
42,9,9,9,20,9,20,1,3.101527
43,15,15,15,20,15,20,1,2.418513
44,16,16,16,14,16,14,1,4.727644
45,11,11,11,14,11,14,1,1.254604
46,94,94,94,13,94,13,1,3.092662
47,13,13,13,11,13,11,1,1.621233
48,10,10,10,13,10,13,1,3.020571
49,12,12,12,13,12,13,1,0.065658
50,93,93,93,92,93,92,1,8.739464
51,92,92,92,12,92,12,1,1.00093
52,57,57,57,56,57,56,1,4.468945
53,55,55,55,63,55,63,1,1.22853
54,63,63,63,59,63,59,1,4.079675
55,58,58,58,59,58,59,1,3.578571
56,59,59,59,60,59,60,1,2.057287
57,60,60,60,62,60,62,1,6.209196
58,88,88,88,62,88,62,1,3.544905
59,62,62,62,83,62,83,2,8.525043
60,83,83,83,80,83,80,2,6.365111
61,87,87,87,0,87,0,2,5.323464
62,77,77,77,78,77,78,2,5.263041
63,78,78,78,87,78,87,2,3.551367
64,82,82,82,76,82,76,2,2.654657
65,74,74,74,75,74,75,2,0.796932
66,76,76,76,78,76,78,2,3.844382
67,75,75,75,76,75,76,2,0.404768
68,72,72,72,85,72,85,2,5.833869
69,85,85,85,75,85,75,2,6.912678
70,73,73,73,85,73,85,2,2.077159
71,84,84,84,73,84,73,2,2.162754
72,80,80,80,73,80,73,2,2.192914
73,64,64,64,80,64,80,2,3.267389
74,79,79,79,83,79,83,2,4.987731
75,54,54,54,79,54,79,2,5.83537
76,50,50,50,97,50,97,2,1.056344
77,49,49,49,50,49,50,2,4.171458
78,51,51,51,49,51,49,1,6.13486
79,53,53,53,49,53,49,1,2.82545
80,48,48,48,53,48,53,2,8.94939
81,38,38,38,53,38,53,1,1.244648
82,44,44,44,38,44,38,1,9.848422
83,39,39,39,38,39,38,1,3.042587
84,36,36,36,39,36,39,1,2.773091
85,43,43,43,36,43,36,1,3.061606
86,40,40,40,36,40,36,1,0.790661
87,42,42,42,40,42,40,1,4.530043
88,35,35,35,40,35,40,1,1.491189
89,32,32,32,35,32,35,1,1.159221
90,27,27,27,32,27,32,1,4.903241
91,26,26,26,27,26,27,1,2.796763
92,4,4,4,96,4,96,1,7.000231
93,19,19,19,32,19,32,1,2.813015
94,97,97,97,79,97,79,2,0.667623
95,28,28,28,30,28,30,1,4.678674
96,56,56,56,63,56,63,1,3.166346
